sim_index,tau,gamma,rho,R0,near_threshold,peak_I,peak_time,final_R
3846,0.016717,0.41776827,0.00349654,1.3605,0,2933.3413,12.05,20059.0
1333,0.00631441,0.14402952,0.00344077,1.4906,0,3667.4706,33.13,24532.0
3016,0.00290557,0.18766373,0.00499639,0.5264,0,500.0,0.0,784.0
1696,0.00324002,0.21917651,0.00447431,0.5026,0,447.0,0.0,895.0
3321,0.00079968,0.46779335,0.00939041,0.0581,0,939.0,0.0,967.0
1703,0.0063484,0.47136117,0.00444834,0.4579,0,445.0,0.0,925.0
1711,0.01187017,0.49580652,0.00841856,0.814,1,842.0,0.0,5722.0
2881,0.01818574,0.22443773,0.00504349,2.755,0,13710.9505,13.05,57264.0
108,0.00769245,0.25210894,0.00525873,1.0374,1,1177.783,20.08,10513.0
1919,0.01731921,0.3938853,0.00164437,1.495,0,3374.9798,16.06,23667.0
2125,0.01014713,0.38892563,0.00282341,0.8871,1,503.8414,10.04,5103.0
3873,0.00685118,0.34803834,0.00364421,0.6693,0,364.0,0.0,1841.0
2507,0.00912983,0.45288929,0.00843346,0.6854,0,843.0,0.0,3075.0
2262,0.01779059,0.27894054,0.00644643,2.1685,0,8759.4446,13.05,44076.0
2719,0.01574624,0.3520088,0.00274211,1.5209,0,3710.7745,15.06,24257.0
8,0.00058674,0.32268162,0.00298894,0.0618,0,299.0,0.0,312.0
3310,0.00618842,0.18469899,0.00685083,1.1392,1,1478.5465,26.1,13017.0
2376,0.01099798,0.21025921,0.00649025,1.7784,0,6079.16,17.07,33421.0
